ID,IndicatorName,Lookup Paper,Comment
2929,311,781,Blue-Green area
2930,366,781,
2931,378,724,
2932,378,781,activity density
2933,387,782,
2934,352,782,
2935,310,782,
2936,389,782,
2937,304,784,
2938,326,784,
2939,324,784,differentiation of rural vs urban
2940,345,784,
2941,369,783,
2942,326,783,
2943,343,783,
2944,367,783,
2945,309,785,
2946,312,785,
2947,344,786,
2948,337,786,
2949,390,788,
2950,378,789,Railway travel
2951,322,790,
2952,375,790,
2953,356,790,
2954,366,790,
2955,346,790,
2956,345,790,Connection to utilities
2957,346,791,
2958,311,791,
2959,344,791,
2960,355,818,
2961,352,792,
2962,343,817,
2963,356,817,
2964,311,817,green public area per inhab
2965,346,817,
2966,366,817,Intersection density
2967,391,817,
2968,356,794,
2969,337,794,
2970,385,795,
2971,371,794,as Downpayment affordability
2972,342,800,
2973,324,800,
2974,346,794,
2975,375,800,
2976,390,799,
2977,337,799,
2978,379,794,
2979,350,794,
2980,343,794,
2981,305,794,
2982,309,797,
2983,333,797,
2984,374,797,
2985,352,797,
2986,314,798,
2987,319,798,
2988,307,798,
2989,378,798,
2990,365,798,
2991,375,798,
2992,343,801,
2993,324,801,
2994,342,801,
2995,322,801,
2996,356,801,
2997,346,801,
2998,311,802,Green visibility
2999,356,802,
3000,343,803,
3001,350,803,
3002,311,803,% land coverage
3003,356,803,
3004,378,803,
3005,324,804,
3006,375,805,
3007,311,807,NDVI and % land coverage
3008,392,801,
3009,392,807,
3010,352,806,
3011,391,806,
3012,352,808,
3013,309,809,
3014,332,810,
3015,324,810,
3016,319,810,Households/residential unit
3017,358,810,
3018,312,810,
3019,313,810,
3020,307,810,
3021,379,810,
3022,391,810,
3023,375,810,
3024,343,810,
3025,311,810,
3026,390,810,
3027,336,810,
3028,336,801,
3029,367,811,
3030,342,811,
3031,324,811,
3032,343,811,
3033,337,811,
3034,311,811,NDVI
3035,356,811,Park distance
3036,343,811,
3037,322,811,
3038,350,811,
3039,354,812,Yearly
3040,342,812,
3041,356,812,Park Distance
3042,322,812,
3043,326,812,
3044,391,812,
3045,375,813,
3046,311,813,
3047,356,813,
3048,333,813,
3049,325,813,
3050,325,812,
3051,347,813,
3052,343,814,
3053,324,814,
3054,325,814,
3055,356,814,
3056,375,814,
3057,346,814,
3058,352,662,
3059,309,819,
